IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
431102065003,1964.6474770833336,2494.677594666667,160.0,160.9,19.0,30.0
431102065004,2454.337023333333,1907.610438222222,145.0,169.5,11.0,22.0
431103002004,1915.5126966666667,2006.2458333333334,158.0,165.0,16.0,27.0
431103011003,2017.9854006666665,2113.88,161.5,174.0,15.0,26.0
431103011004,2017.9854006666665,2162.6766666666667,152.0,174.0,14.0,25.0
431103081021,1126.38,2238.184623587313,103.5,170.0,10.0,21.0
431103142001,1079.895,2169.2803129166664,173.0,171.5,19.0,30.0
431201046003,2078.2312699999998,1619.6982495833333,140.0,160.0,13.0,24.0
431203002003,2267.3647324999997,1970.3950616666668,159.0,170.5,13.0,23.0
431203013003,2470.668333333333,2188.5317491666665,162.0,161.5,19.0,30.0
431203019004,2375.0233153333334,2629.3325655555554,163.0,160.0,19.0,30.0
431203042003,2205.6869943333336,2141.0373409523813,164.0,165.0,14.0,25.0
431204002004,2523.7340999999997,2249.413989583333,160.0,175.0,12.0,23.0
431204004003,3488.570932,2622.9407750000005,158.0,172.5,15.0,26.0
431204006004,3531.844787,1998.9193133333335,153.0,168.0,15.0,26.0
431204007003,2780.5133860000005,975.8850479166667,140.0,152.0,11.0,22.0
431204018003,2505.03072,697.4109408333334,148.3,162.0,15.0,26.0
431204043003,1541.905152666667,1749.5311976666665,160.0,160.0,19.0,30.0
432101122003,887.8733333333333,1340.6021173333331,81.0,120.0,2.0,13.0
432102004003,2134.4197187500004,2509.0141596666667,130.8,160.0,11.0,22.0
432103061003,654.6592350000001,2556.622692,97.0,162.0,4.0,15.0
432104061003,2006.659125333333,1529.578527222222,91.2,144.0,2.0,13.0
432201016003,2365.2289533333333,2223.728819,146.5,166.0,12.0,24.0
432201042004,1522.27449625,1973.8003362499996,115.7,172.0,5.0,17.0
432202005041,2119.4823300000003,2629.1032936666666,94.8,170.0,3.0,14.0
432202042003,2640.7080062499995,1397.812365,161.0,166.0,13.0,24.0
432203006003,2380.7084237500003,1637.7236375,160.0,154.0,17.0,29.0
432203006006,2449.3330800000003,1851.3586237499997,144.0,172.0,12.0,24.0
432203011005,2549.6658244166665,1378.0948141666668,163.0,165.0,15.0,27.0
432203013003,1980.1482953333334,1476.7034713333335,154.0,156.0,14.0,25.0
432204001005,1428.8834200000001,3084.260604857143,,166.0,5.0,16.0
432204003061,1092.6949216666665,1751.887355,93.0,158.0,2.0,14.0
432204012004,1853.5658116666666,2155.1989880952383,108.0,158.0,6.0,17.0
432204016004,2147.1387443333333,1943.313147222222,135.0,156.0,11.0,22.0
432204016031,2118.6985156666665,2033.6180955555556,142.0,156.0,10.0,21.0
432204018006,3020.5664391666664,2843.9498070000004,172.0,173.0,16.0,27.0
432204042061,1368.8172969999998,1996.9386571428568,70.0,140.0,1.0,12.0
432301002002,1875.734844,1844.8446301666665,162.0,162.3,18.0,28.0
432302017003,2188.214379333333,1998.150311666667,129.0,158.0,12.0,23.0
432303020004,2872.767682,2339.8282091666665,171.0,178.0,15.0,26.0
432404002005,3224.3596411111116,2578.8825286666665,168.0,167.7,18.0,29.0
432404015004,1981.2694444444442,2000.3257646666668,131.0,160.0,11.0,22.0
451104008062,897.3874226666667,1042.976007,73.0,150.5,1.0,11.0
451104009062,477.865216,1672.638695333333,77.0,142.5,2.0,12.0
451203004042,1230.5240483333334,1328.1426429166665,104.0,156.4,6.0,17.0
451203006007,2157.7024693333333,2149.8572066666666,174.0,174.4,16.0,27.0
451203008008,2576.8311566666666,1265.1634599999998,137.6,163.8,11.0,22.0
451203011032,2143.6555412499997,1240.9076876190477,125.2,151.5,8.0,18.0
451203014042,1041.5354453333334,964.1376323333334,98.0,150.9,3.0,14.0
451203016005,1980.4028216666668,1218.490256785714,158.0,163.4,17.0,28.0
451203061005,1223.101292,1316.61418,89.4,151.5,2.0,13.0
451203121003,930.9833333333332,1843.2729491666666,115.6,154.8,6.0,17.0
451203127004,1347.3999999999999,1645.229738095238,103.0,151.3,5.0,16.0
451203143005,1032.985,1214.82481,102.0,163.0,4.0,15.0
451204005062,435.8008133333333,983.1188179999999,73.5,157.5,1.0,11.0
451204010031,1512.0708583333333,777.5840890476192,113.0,167.0,7.0,18.0
451204013061,917.391207,1427.0529559999998,88.0,162.4,2.0,13.0
451204121005,845.0516666666667,968.3025736666667,91.0,152.9,3.0,14.0
